country,state,district,state_lgd_code,district_lgd_code
India,Uttar Pradesh,Unnao,9,186
India,Uttar Pradesh,Varanasi,9,187
India,Uttarakhand,Almora,5,45
India,Uttarakhand,Bageshwar,5,46
India,Uttarakhand,Chamoli,5,47
India,Uttarakhand,Champawat,5,48
India,Uttarakhand,Dehradun,5,49
India,Uttarakhand,Haridwar,5,50
India,Uttarakhand,Nainital,5,51
India,Uttarakhand,Pauri Garhwal,5,52
India,Uttarakhand,Pithoragarh,5,53
India,Uttarakhand,Rudra Prayag,5,54
India,Uttarakhand,Tehri Garhwal,5,55
India,Uttarakhand,Udam Singh Nagar,5,56
India,Uttarakhand,Uttar Kashi,5,57
India,West Bengal,24 Paraganas North,19,303
India,West Bengal,24 Paraganas South,19,304
India,West Bengal,Alipurduar,19,664
India,West Bengal,Bankura,19,305
India,West Bengal,Birbhum,19,307
India,West Bengal,Coochbehar,19,308
India,West Bengal,Darjeeling,19,309
India,West Bengal,Dinajpur Dakshin,19,310
India,West Bengal,Dinajpur Uttar,19,311
India,West Bengal,Hooghly,19,312
India,West Bengal,Howrah,19,313
India,West Bengal,Jalpaiguri,19,314
India,West Bengal,Jhargram,19,703
India,West Bengal,Kalimpong,19,702
India,West Bengal,Kolkata,19,315
India,West Bengal,Maldah,19,316
India,West Bengal,Medinipur East,19,317
India,West Bengal,Medinipur West,19,318
India,West Bengal,Murshidabad,19,319
India,West Bengal,Nadia,19,320
India,West Bengal,Paschim Bardhaman,19,704
India,West Bengal,Purba Bardhaman,19,306
India,West Bengal,Purulia,19,321
